ID  ※重複不可　バージョンアップで称号を追加した時にずれないようにするためのもの,"word
称号用ワード

※英語追加時、半角スペースを入れた称号は作成しない。

※英語関連は単語の最初は大文字","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

aa:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
a-z : アルファベット
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※イベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※メダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用


※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,パッチDLC番号,DLC番号,"称号プレート番号(仮)
1xxy
xx … キャラ番号(chrxx)
y … 0銅 1銀 2金 3虹",アンロック用文字列,キャラ番号(特別称号フィルタ),DLC番号
1015,Pro,Pro,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1016,Professional,Professional,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1017,Professor,Professor,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1018,Progressive,Progressive,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1019,Prohibition,Prohibition,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1020,prpr,prpr,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1021,Psycho,Psycho,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1022,Punish,Punish,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1023,Punishment,Punishment,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1024,Punk,Punk,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1025,Pupil,Pupil,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1026,Pure,Pure,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1027,Purgatory,Purgatory,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1028,Purpose,Purpose,shop,p,,,,,,,1,1,,,0,0,-1,-1,-1,0
1029,q,q,shop,q,,,,,,,1,1,,,0,0,-1,-1,-1,0
1030,Q,Q,shop,q,,,,,,,1,1,,,0,0,-1,-1,-1,0
1031,Quack,Quack,shop,q,,,,,,,1,1,,,0,0,-1,-1,-1,0
1032,Queen,Queen,shop,q,,,,,,,1,1,,,0,0,-1,-1,-1,0
1033,Quest,Quest,shop,q,,,,,,,1,1,,,0,0,-1,-1,-1,0
1034,Quoth,Quoth,shop,q,,,,,,,1,1,,,0,0,-1,-1,-1,0
1035,r,r,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1036,R,R,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1037,Race,Race,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1038,Radial,Radial,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1039,Rage,Rage,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1040,Raider,Raider,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1041,Rain,Rain,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1042,Rampancy,Rampancy,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1043,Rank,Rank,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1044,Ranker,Ranker,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1045,Ready,Ready,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1046,Reality,Reality,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1047,Reap,Reap,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1048,Reason,Reason,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1049,Rebalance,Rebalance,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1050,Rebirth,Rebirth,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1051,Re-birth,Re-birth,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1052,Reborn,Reborn,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1053,Recall,Recall,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1054,Reclusive,Reclusive,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1055,RED,RED,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1056,Redemption,Redemption,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1057,Reflect,Reflect,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1058,Reflector,Reflector,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1059,Refreshing,Refreshing,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1060,Register,Register,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1061,Reign,Reign,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1062,Reload,Reload,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1063,Rend,Rend,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1064,Repeat,Repeat,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1065,Replace,Replace,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1066,Resent,Resent,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1067,Resentment,Resentment,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1068,Resident,Resident,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1069,Resign,Resign,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1070,Resonance,Resonance,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1071,Resort,Resort,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1072,Restore,Restore,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1073,Restraint,Restraint,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1074,Result,Result,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1075,Resurrection,Resurrection,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1076,Retaliation,Retaliation,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1077,Retribution,Retribution,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1078,Return,Return,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1079,Returner,Returner,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1080,Reunion,Reunion,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1081,Revelation,Revelation,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1082,Revenge,Revenge,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1083,Reverse,Reverse,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1084,Revolution,Revolution,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1085,Reward,Reward,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1086,Rhythmic,Rhythmic,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1087,Rider,Rider,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1088,Righteousness,Righteousness,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1089,Ring,Ring,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1090,Ripping,Ripping,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1091,Rising,Rising,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1092,Risk,Risk,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1093,Ritual,Ritual,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1094,ROA,ROA,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1095,Roar,Roar,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1096,Rook,Rook,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1097,Root,Root,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1098,Rose,Rose,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1099,Rotational,Rotational,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1100,Routine,Routine,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1101,Ruins,Ruins,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1102,Ruler,Ruler,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1103,Rupture,Rupture,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1104,Rush,Rush,shop,r,,,,,,,1,1,,,0,0,-1,-1,-1,0
1105,s,s,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1106,S,S,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1107,S級,Sきゅう,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1108,SABER,SABER,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1109,Sabotage,Sabotage,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1110,Sacred,Sacred,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1111,Sacrifice,Sacrifice,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1112,Sad,Sad,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1113,Sadism,Sadism,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1114,Sadist,Sadist,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1115,Sadness,Sadness,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1116,Saffron,Saffron,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1117,Saint,Saint,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1118,Salamander,Salamander,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1119,Salvation,Salvation,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1120,Sand,Sand,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1121,Sandwich,Sandwich,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1122,Scare,Scare,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1123,Scarlet,Scarlet,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1124,Scathing,Scathing,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1125,Scholar,Scholar,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1126,Scream,Scream,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1127,Screw,Screw,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1128,Scripture,Scripture,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1129,Sea,Sea,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1130,Seal,Seal,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1131,Second,Second,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1132,See!,See!,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1133,Seething,Seething,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1134,Segregation,Segregation,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1135,Serial,Serial,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1136,Seriously?!,Seriously?!,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1137,Servant,Servant,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1138,Service,Service,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1139,Set,Set,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1140,Seventh,Seventh,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1141,Sever,Sever,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1142,Shade,Shade,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1143,Shadow,Shadow,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1144,Shape,Shape,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1145,Shark,Shark,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1146,Shattered,Shattered,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1147,She,She,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1148,Sheets,Sheets,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1149,Sheol,Sheol,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1150,Shield,Shield,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1151,Shift,Shift,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1152,SHIKI,SHIKI,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1153,Shine,Shine,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1154,Short,Short,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1155,Shred,Shred,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1156,Shredder,Shredder,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1157,Shudder,Shudder,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1158,Shut-in,Shut-in,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1159,Sickly,Sickly,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1160,Sigh,Sigh,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1161,Sightless,Sightless,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1162,Sign,Sign,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1163,Silent,Silent,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1164,Silver,Silver,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1165,Silvery,Silvery,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1166,Sincerity,Sincerity,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1167,Single,Single,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1168,Sinister,Sinister,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1169,Sins,Sins,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1170,Sir!,Sir!,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1171,Sissy,Sissy,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1172,Sister,Sister,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1173,SISTER!,SISTER!,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1174,Size,Size,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1175,Skeleton,Skeleton,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1176,Sky,Sky,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1177,Skylark,Skylark,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1178,Slanderous,Slanderous,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1179,Slave,Slave,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1180,Slayer,Slayer,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1181,Slide,Slide,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1182,Smoke,Smoke,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1183,Snake,Snake,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1184,Snow,Snow,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1185,So,So,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1186,Soft,Soft,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1187,Soldier,Soldier,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1188,Solipsism,Solipsism,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1189,Solipsist,Solipsist,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1190,Solitude,Solitude,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1191,Soma,Soma,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1192,Sonic,Sonic,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1193,Sorceress,Sorceress,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1194,Sorcery,Sorcery,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1195,Soul,Soul,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1196,Soulless,Soulless,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1197,Space,Space,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1198,Spartan,Spartan,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1199,Speaker,Speaker,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1200,Spec,Spec,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1201,Special,Special,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1202,Specialist,Specialist,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1203,Spectacular,Spectacular,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1204,Speed,Speed,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1205,Speedy,Speedy,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1206,Spellcaster,Spellcaster,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1207,Spike,Spike,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1208,Spiral,Spiral,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1209,Spirit,Spirit,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1210,Splendor,Splendor,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1211,Spoiler,Spoiler,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1212,Sprite,Sprite,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1213,Staff,Staff,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1214,Stagnant,Stagnant,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1215,Stance,Stance,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1216,Star,Star,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1217,Stare,Stare,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1218,State,State,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1219,Steel,Steel,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1220,Step,Step,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1221,Still,Still,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1222,Stinger,Stinger,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1223,Stink,Stink,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1224,Stoic,Stoic,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1225,Stomp,Stomp,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1226,Storm,Storm,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1227,Stranger,Stranger,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1228,Stream,Stream,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1229,Streaming,Streaming,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1230,Strike,Strike,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1231,Striking,Striking,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1232,Student,Student,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1233,Stygian,Stygian,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
4150,ＳＴＹＬＥ。,STYLE。,shop,s,,,,,,,1,1,,,0,0,1162,chr016_title_battle_2,16,23
1234,Succession,Succession,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1235,Such,Such,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1236,Sucks,Sucks,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1237,Suffer,Suffer,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1238,Sunburn,Sunburn,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1239,Sunlight,Sunlight,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1240,Super,Super,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1241,Superhuman,Superhuman,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1242,Supermoon,Supermoon,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1243,Supersonic,Supersonic,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1244,Surely,Surely,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1245,Surface,Surface,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1246,Survivor,Survivor,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1247,Sutra,Sutra,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1248,Swallow,Swallow,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1249,Swirl,Swirl,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1250,Sword,Sword,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1251,Swordsman,Swordsman,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1252,Sylph,Sylph,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1253,Sync,Sync,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1254,Synthesis,Synthesis,shop,s,,,,,,,1,1,,,0,0,-1,-1,-1,0
1255,t,t,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1256,T,T,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1257,Taunting,Taunting,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1258,Tear,Tear,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1259,Tears,Tears,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1260,Tempest,Tempest,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1261,Temptress,Temptress,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1262,Tenacity,Tenacity,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1263,Tense,Tense,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1264,Terabyte,Terabyte,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1265,Terminator,Terminator,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1266,Than,Than,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1267,Thanatos,Thanatos,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1268,Thanks,Thanks,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1269,That,That,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1270,The,The,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1271,Then,Then,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1272,Thereupon,Thereupon,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1273,Third,Third,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1274,Third-rate,Third-rate,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1275,This,This,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1276,Though,Though,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1277,Thrust,Thrust,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1278,Thunder,Thunder,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1279,Thunderbird,Thunderbird,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1280,Thunderbolt,Thunderbolt,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1281,Thyme,Thyme,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1282,Tiger,Tiger,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1283,Tigress,Tigress,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1284,Time,Time,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1285,Titillating,Titillating,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1286,To,To,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1287,TOHNO,TOHNO,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1288,Tomgirl,Tomgirl,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1289,Ton,Ton,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1290,Torment,Torment,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1291,Tornado,Tornado,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1292,Torrent,Torrent,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1293,Torrential,Torrential,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1294,Total,Total,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1295,Totality,Totality,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1296,Touch,Touch,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1297,Toxic,Toxic,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1298,Training,Training,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1299,Trample,Trample,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1300,Tranquil,Tranquil,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1301,Transfer,Transfer,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1302,Transform,Transform,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1303,Transparent,Transparent,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1304,Trap,Trap,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1305,Tree,Tree,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
1306,Triangle,Triangle,shop,t,,,,,,,1,1,,,0,0,-1,-1,-1,0
